pfrid,team,position,full_name,First*(actual_fantasy_points),fantasy_points_FP,fantasy_points_NFL,fantasy_points_CBS,fox,fantasy_points2,min,max,avg,opp_def_rank_nf,fantasy_points_nf,fantasy_points_fd,salary_fd,value_fd,overall_rank_nf,position_rank_nf,Confidence,opponent,FFPts,Grade,FanDuel (Projected points),FanDuel (Price),FanDuel ($/point),FanDuel (Value),performance,variability,changevs,homeaway,#,QB,#(2),RB,#(3),RB-PPR,#(4),WR,#(5),WR-PPR,#(6),TE,#(7),TE-PP,#(8),K,#(9),OFF,#(10),OFF-PPR,#(11),DEF
McClDe00,TEN,RB,Dexter McCluster,11.2,5.07,,4.356,6,4.004,0.8,14.4,7.155555556,23,3.33,4.19,5200,0.81,158,47,3.33,JAX,5.2,C-Game,7,5200,745.6,1.34,0,13.6,,2,21,17.2,22,20.6,27,27.8,15,22,16,35.5,23,9.3,23,14.5,24,8.2,22,77.3,25,103.1,30,10.6
FasaAn00,TEN,TE,Anthony Fasano,2.4,3.03,2.2,2.19,3.2,3.3,1.1,16.9,5.2,23,3.26,4.04,4500,0.9,161,24,3.26,JAX,3.6,C-Game,4.7,4500,966.8,1.03,3.24,15.8,-1.96,2,21,17.2,22,20.6,27,27.8,15,22,16,35.5,23,9.3,23,14.5,24,8.2,22,77.3,25,103.1,30,10.6
SanuMo00,CIN,WR,Mohamed Sanu,1,3.999,6.74,4.02,4.3,3.99,1,12.5,5.655555556,6,3.31,4.32,5100,0.85,161,64,3.31,ARI,3.9,C-Game,5.1,5100,999.1,1,4.399857143,11.5,-1.255698413,2,12,16.3,12,16.3,12,21.6,19,24.3,18,36.1,1,3.8,1,7.9,18,7.5,9,68,10,89.3,11,6.9
DobsAa00,NE,WR,Aaron Dobson,1,2.23,2.4,0.16,4.8,4.99,1,12.2,3.68,10,3.23,4.58,4500,1.02,163,65,3.23,BUF,1.3,C-Game,1.7,4500,2617.6,0.38,2.504285714,11.2,-1.175714286,1,8,14.8,20,19.9,17,24.5,13,21.8,17,35.5,6,5.1,7,9.5,3,5.9,8,67.5,12,90.2,18,7.7
RudoKy00,MIN,TE,Kyle Rudolph,1.2,3.47,5.7,3.15,5.2,5.32,1.2,11.5,5.3,21,3.21,4.4,4700,0.94,163,25,3.21,GB,4.6,C-Game,5.9,4700,790.6,1.26,4.148571429,10.3,-1.151428571,1,26,18.5,16,18.5,16,23.2,25,25.5,22,38,17,8.3,16,13.3,10,6.4,21,77.2,21,99.4,1,3.9
HogaCh00,BUF,WR,Chris Hogan,0,3.75,1.5,3.79,1.5,1.77,1.6,12.86,7.61,14,3.18,4.09,4900,0.83,165,66,3.18,NE,3.9,C-Game,5.3,4900,920.9,1.09,3.541428571,11.26,-4.068571429,2,23,17.4,6,13.9,10,20,21,24.4,23,38,14,7.8,14,12.8,5,6,14,69.5,15,94.2,2,4.5
DaniOw00,DEN,TE,Owen Daniels,1.9,3,9.2,2.79,4.4,5.39,1.5,19.2,6.8125,25,3.14,4.15,5000,0.83,166,27,3.14,CHI,3.4,C-Game,4.6,5000,1094.3,0.91,4.288571429,17.7,-2.523928571,2,20,17.1,11,15.9,11,20.2,16,23.4,14,35.3,7,5.2,5,9.1,28,8.5,16,70.1,11,90.1,26,9.4
FloyMi00,ARI,WR,Michael Floyd,26.8,7.84,3.9,6.54,0,0,1.7,26.8,10.8375,11,2.99,3.71,6400,0.58,168,67,2.99,CIN,6.3,C-Game,10.3,6400,622.1,1.61,5.467142857,25.1,-5.370357143,1,2,13.5,15,17.1,14,22.9,7,18.2,8,29.2,11,6.3,15,12.8,6,6,2,61,5,84.4,6,6.2
AlleJa01,BAL,RB,Javorius Allen,2.8,2.428,1.2,2.178,3.8,2.173,1.2,5.8,3.111111111,2,2.79,3.49,4900,0.71,169,48,2.79,STL,3.8,C-Game,4.3,4900,1147.6,0.87,2.739428571,4.6,-0.37168254,1,3,13.8,18,19.6,24,26.8,2,13.7,2,26.2,16,7.9,19,13.5,27,8.4,5,63.3,9,88.7,22,8.6
TateBr00,CIN,WR,Brandon Tate,0,1.54,0,0.08,0.7,0.51,0.9,12,6.45,6,2.94,3.71,4700,0.79,169,68,2.94,,,,7.809907121,,,,0,11.1,,,,,,,,,,,,,,,,,,,,,,,,
