pfrid,team,position,full_name,First*(actual_fantasy_points),fantasy_points_FP,fantasy_points_NFL,fantasy_points_CBS,fox,fantasy_points2,min,max,avg,opp_def_rank_nf,fantasy_points_nf,fantasy_points_fd,salary_fd,value_fd,overall_rank_nf,position_rank_nf,Confidence,opponent,FFPts,Grade,FanDuel (Projected points),FanDuel (Price),FanDuel ($/point),FanDuel (Value),performance,variability,changevs,homeaway,#,QB,#(2),RB,#(3),RB-PPR,#(4),WR,#(5),WR-PPR,#(6),TE,#(7),TE-PP,#(8),K,#(9),OFF,#(10),OFF-PPR,#(11),DEF
KuhnJo00,GB,FB,John Kuhn,0,1.022,0.13,2.065,0.6,0.805,0.3,7.4,3.566666667,16,0.89,1.16,4500,0.26,231,70,0.89,,,,7.809907121,,,,0,7.1,,,,,,,,,,,,,,,,,,,,,,,,
GreeVi00,DEN,TE,Virgil Green,1.3,1.2,2.3,2.55,0.3,0.17,1.3,8.2,4.4,25,0.8,0.95,4500,0.21,236,47,0.8,,,,7.809907121,,,,0,6.9,,,,,,,,,,,,,,,,,,,,,,,,
JuszKy00,BAL,FB,Kyle Juszczyk,7.2,2.577,,2.79,2.4,2.79,0.8,10.6,4.788888889,2,0.78,1.08,4500,0.24,239,72,0.78,STL,3.3,C-Game,4.4,4500,1017.1,0.98,0,9.8,,1,3,13.8,18,19.6,24,26.8,2,13.7,2,26.2,16,7.9,19,13.5,27,8.4,5,63.3,9,88.7,22,8.6
McCoCo00,WAS,QB,Colt McCoy,0,0.194,0,0,,,0,0,0,7,0.73,0.79,5000,0.16,239,34,0.73,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
EaslMa00,BUF,WR,Marcus Easley,0,0.38,,0.04,1.5,1.74,12.3,12.3,12.3,14,0.74,0.86,4500,0.19,240,95,0.74,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
OlawJa00,OAK,RB,Jamize Olawale,7.4,2.129,,2.208,2,2.043,0.4,7.9,4.2,27,0.72,0.8,4800,0.17,242,74,0.72,DET,2.9,C-Game,3.4,4800,1392.8,0.72,0,7.5,,2,31,21,23,20.8,19,25.6,27,26.6,27,41.9,26,10.5,26,16,21,7.8,31,86.7,31,112.3,20,8.2
BratCa00,UNK,UNK,Cameron Brate,1.1,1.3,,1.76,,,0,0,0,5,0.71,0.89,4500,0.2,243,49,0.71,PHI,1.9,C-Game,2.4,4500,1881.3,0.53,0,,,2,16,16.8,2,12.2,1,16.1,31,29,32,44.6,2,4.2,4,8.9,20,7.8,15,70,16,94.2,16,7.5
BrowMa00,BAL,WR,Marlon Brown,1.1,2.82,3.6,2.53,3.3,3.4,0.5,3.9,2.275,2,0.72,1.18,4500,0.26,243,96,0.72,,,,7.809907121,,,,0,3.4,,,,,,,,,,,,,,,,,,,,,,,,
DaviKe01,NYJ,TE,Kellen Davis,0,1.25,,2.78,0.4,0.25,6.6,6.6,6.6,13,0.71,0.91,4500,0.2,243,49,0.71,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
WaltBr00,JAC,WR,Bryan Walters,4.4,1.93,2.2,3.66,5,4.83,1,13.9,6.325,12,0.72,0.95,5100,0.19,243,96,0.72,TEN,4,C-Game,5.4,5100,943.6,1.06,2.225714286,12.9,-4.099285714,1,22,17.4,5,13.8,3,16.7,11,21.4,9,31.4,28,11,27,16.3,2,5.7,13,69.3,6,87.4,32,13.7
EscoGa00,DAL,TE,Gavin Escobar,2.7,1.52,2.3,2.89,0.2,0.12,0.6,7.8,3.7,26,0.69,1.03,4500,0.23,246,51,0.69,MIA,1.7,C-Game,2,4500,2196.2,0.46,1.588571429,7.2,-2.111428571,2,18,17,31,24.4,31,28.9,17,23.7,15,35.5,19,8.6,17,13.3,16,7.4,26,81,23,102,21,8.5
JaniJe00,GB,WR,Jeff Janis,0,0.26,0.9,0.05,0.3,0.15,8.9,8.9,8.9,16,0.67,0.77,4500,0.17,249,99,0.67,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
LeexMa00,JAC,WR,Marqise Lee,1.6,3.009,4.81,3.12,2,1.79,1.6,4.9,2.766666667,12,0.61,0.84,4600,0.18,254,103,0.61,TEN,1.3,C-Game,1.7,4600,2678.6,0.37,2.099857143,3.3,-0.666809524,1,22,17.4,5,13.8,3,16.7,11,21.4,9,31.4,28,11,27,16.3,2,5.7,13,69.3,6,87.4,32,13.7
RainBo00,TB,RB,Bobby Rainey,0,0.143,1.78,0.03,0.2,0.036,0.3,1.9,1.1,5,0.6,0.91,4600,0.2,255,77,0.6,PHI,0.3,C-Game,0.4,4600,11233.2,0.09,0.637571429,1.6,-0.462428571,2,16,16.8,2,12.2,1,16.1,31,29,32,44.6,2,4.2,4,8.9,20,7.8,15,70,16,94.2,16,7.5
YounDa01,WAS,FB,Darrel Young,1.5,0.186,,1.334,0,0,0.1,1.5,0.72,7,0.59,0.67,4500,0.15,256,78,0.59,,,,7.809907121,,,,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,
CareKa00,CHI,RB,Ka'Deem Carey,3.6,1.458,2.38,2.13,4.3,3.204,2.8,3.6,3.2,1,0.56,0.73,4800,0.15,258,79,0.56,DEN,4,C-Game,4.5,4800,1068.8,0.94,1.759714286,0.8,-1.440285714,1,1,9.2,21,20.2,20,26.1,1,11.8,1,22.1,12,6.3,9,10.2,12,6.6,1,54,1,74.2,28,9.8
FowlJa00,TEN,FB,Jalston Fowler,1.9,1.366,,1.491,0,0.03,1.9,6.9,3.833333333,23,0.55,0.68,0,0,259,80,0.55,,,,7.809907121,,,,0,5,,,,,,,,,,,,,,,,,,,,,,,,
PettBr00,DET,TE,Brandon Pettigrew,6.7,1.49,,2.71,2.1,1.87,4.4,6.7,5.55,31,0.54,0.72,4500,0.16,261,54,0.54,,,,7.809907121,,,,0,2.3,,,,,,,,,,,,,,,,,,,,,,,,
ThieAd00,MIN,WR,Adam Thielen,1.4,0.262,,0.09,0.2,0.15,1.4,10,4.375,21,0.55,0.76,4500,0.17,262,106,0.55,,,,7.809907121,,,,0,8.6,,,,,,,,,,,,,,,,,,,,,,,,
MostRa00,BAL,RB,Raheem Mostert,0,0.088,,0.047,,,0,0,0,2,0.5,0.62,0,0,264,81,0.5,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
RossRa00,WAS,WR,Rashad Ross,0,0.14,,0,0,0,2.1,9.7,5.533333333,7,0.52,0.62,4800,0.13,266,109,0.52,,,,7.809907121,,,,0,7.6,,,,,,,,,,,,,,,,,,,,,,,,
ThomJu01,DEN,RB,Juwan Thompson,0,0.168,0.15,0.015,0.3,0.031,1.1,2.1,1.6,25,0.49,0.7,4900,0.14,266,82,0.49,,,,7.809907121,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,
WhitFo00,CAR,RB,Fozzy Whittaker,0,1.016,1.7,2.3,0.9,1.102,0.3,3.3,1.442857143,15,0.48,0.71,4500,0.16,267,83,0.48,WAS,0.3,C-Game,0.3,4500,16635.9,0.06,0.998,3,-0.444857143,1,13,16.5,8,15.8,7,19.7,20,24.3,13,35.1,9,5.5,10,10.3,13,6.8,11,68.9,7,88.4,12,6.9
AjirSe00,PHI,WR,Seyi Ajirotutu,0,0.24,0,0,0,0,0,0,0,18,0.5,0.64,4500,0.14,269,111,0.5,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
HarrAl00,GB,RB,Alonzo Harris,0,0.033,,0,0.1,0.005,0.2,1.7,0.95,16,0.46,0.48,4500,0.11,270,85,0.46,,,,7.809907121,,,,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,
RobeSe00,OAK,WR,Seth Roberts,1,2.12,,2.09,6.7,6.74,1,13.1,5.285714286,27,0.49,0.63,4900,0.13,270,112,0.49,DET,3.5,C-Game,4.4,4900,1116.2,0.9,0,12.1,,2,31,21,23,20.8,19,25.6,27,26.6,27,41.9,26,10.5,26,16,21,7.8,31,86.7,31,112.3,20,8.2
TaylSt00,ARI,RB,Stepfan Taylor,0,0.04,0.69,0.014,0,0.001,0.6,1.9,1.25,11,0.46,0.5,4500,0.11,270,85,0.46,,,,7.809907121,,,,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,
HewiRy00,CIN,TE,Ryan Hewitt,1.2,0.283,,1.39,0.8,1.05,1.2,2.7,2,6,0.43,0.57,0,0,273,87,0.43,,,,7.809907121,,,,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,
FoleNi00,STL,QB,Nick Foles,7,0.183,0,0.158,0,0,5.84,18.98,10.56888889,17,0.38,0.4,6300,0.06,274,40,0.38,,,,7.809907121,,,,0,13.14,,,,,,,,,,,,,,,,,,,,,,,,
BurtMi00,DET,FB,Michael Burton,0,0.099,,0.01,0,0,0.2,1.1,0.7,31,0.39,0.61,0,0,277,89,0.39,,,,7.809907121,,,,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,
LatiCo00,DEN,WR,Cody Latimer,4.5,0.4,0.8,0.03,3,3.21,4.5,4.5,4.5,25,0.43,0.54,4500,0.12,277,114,0.43,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
BoylNi00,BAL,TE,Nick Boyle,5,1.69,1.3,,0.1,0.08,2,11,4.933333333,2,0.37,0.53,4500,0.12,278,59,0.37,STL,1.3,C-Game,1.9,4500,2348.5,0.43,0,9,,1,3,13.8,18,19.6,24,26.8,2,13.7,2,26.2,16,7.9,19,13.5,27,8.4,5,63.3,9,88.7,22,8.6
LaneJo00,TB,FB,Jorvorskie Lane,1.3,0.173,,0.011,0,0.02,1,1.3,1.15,5,0.38,0.53,0,0,278,90,0.38,,,,7.809907121,,,,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,
RipkAa00,GB,FB,Aaron Ripkowski,0,0.111,,0.011,0,0,2.3,2.3,2.3,16,0.38,0.46,0,0,278,90,0.38,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
MariMa00,CHI,WR,Marc Mariani,-2,1.23,0,0.04,4.9,4.81,2.4,3.3,2.85,1,0.4,0.49,4500,0.11,279,115,0.4,,,,7.809907121,,,,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,
BellJo02,CHI,WR,Josh Bellamy,0,1.19,0,0.04,1,1.22,1.1,11.3,6.166666667,1,0.37,0.53,4500,0.12,283,116,0.37,DEN,2.4,C-Game,3.1,4500,1447.7,0.69,0.8,10.2,-5.366666667,1,1,9.2,21,20.2,20,26.1,1,11.8,1,22.1,12,6.3,9,10.2,12,6.6,1,54,1,74.2,28,9.8
WillDa05,MIA,RB,Damien Williams,0,0.255,0.59,0.033,0,0.001,0.5,9.5,2.666666667,22,0.33,0.5,4900,0.1,283,92,0.33,,,,7.809907121,,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,
BurkRe00,CIN,RB,Rex Burkhead,0,0.2,0,0.04,0.6,0.887,1.2,3.2,2.15,6,0.32,0.41,4500,0.09,284,93,0.32,,,,7.809907121,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,
SmitLe00,OAK,TE,Lee Smith,0.6,1.3,,2.58,1.3,1.3,0.6,2.4,1.3,27,0.25,0.36,4500,0.08,286,61,0.25,,,,7.809907121,,,,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,
SherAn00,KC,FB,Anthony Sherman,0,0.366,,1.083,0.1,0.012,0.5,1.8,1.15,28,0.25,0.42,0,0,287,94,0.25,,,,7.809907121,,,,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,
WillMi06,NE,TE,Michael Williams,0,0.13,,,0.1,0.04,0.9,2,1.45,10,0.21,0.29,0,0,290,63,0.21,,,,7.809907121,,,,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,
WhitLu00,DAL,WR,Lucky Whitehead,0.5,0.252,,,1,1.28,0.2,3.5,1.14,26,0.24,0.33,4500,0.07,293,119,0.24,,,,7.809907121,,,,0,3.3,,,,,,,,,,,,,,,,,,,,,,,,
PruiMy00,MIN,TE,MyCole Pruitt,1.7,0.47,,0.04,0,0,1.1,2.5,1.775,21,0.16,0.27,4500,0.06,294,65,0.16,,,,7.809907121,,,,0,1.4,,,,,,,,,,,,,,,,,,,,,,,,
StocLu00,TB,TE,Luke Stocker,0,0.33,,0.05,0.9,0.59,3.7,3.7,3.7,5,0.13,0.22,4500,0.05,295,66,0.13,PHI,1.2,C-Game,1.7,4500,2637.7,0.38,0,0,,2,16,16.8,2,12.2,1,16.1,31,29,32,44.6,2,4.2,4,8.9,20,7.8,15,70,16,94.2,16,7.5
ThomKe02,NYJ,WR,Kenbrell Thompkins,0.7,2.04,,1.77,1.7,1.74,0.7,7.1,4.766666667,13,0.22,0.36,4900,0.07,295,120,0.22,HOU,2.9,C-Game,4.1,4900,1187.6,0.84,0,6.4,,2,17,16.9,28,21.4,25,27.5,9,21.1,10,32.5,10,6.2,11,10.5,8,6.3,18,71.8,14,93.7,19,7.7
PattCo00,MIN,WR,Cordarrelle Patterson,6.6,0.091,2.41,0.08,0,0.02,0.6,6.6,2.375,21,0.19,0.34,4500,0.08,298,122,0.19,,,,7.809907121,,,,0,6,,,,,,,,,,,,,,,,,,,,,,,,
PeriJu00,GB,TE,Justin Perillo,14.3,1.55,,,0,0,1.1,14.3,6,16,0.08,0.09,4800,0.02,298,67,0.08,MIN,1.6,C-Game,2.2,4800,2198.5,0.45,0,13.2,,2,14,16.5,7,15.7,6,19.6,10,21.2,12,33.8,20,9,22,14.3,11,6.4,10,68.8,13,90.7,7,6.4
BreeDr00,NO,QB,Drew Brees,14.36,0,,,,,12.8,47.54,21.45555556,,0,0,0,0,300,46,0,,,,7.809907121,,,,0,34.74,,,,,,,,,,,,,,,,,,,,,,,,
JoneLa02,PIT,QB,Landry Jones,0.92,0,,,,,0.92,14.62,6.715,,0,0,0,0,300,46,0,,,,7.809907121,,,,0,13.7,,,,,,,,,,,,,,,,,,,,,,,,
ManzJo00,CLE,QB,Johnny Manziel,17.58,0,,,,,0.58,17.58,9.72,,0,0,0,0,300,46,0,,,,7.809907121,,,,0,17,,,,,,,,,,,,,,,,,,,,,,,,
MullMa00,BUF,TE,Matthew Mulligan,0,0.04,,0.03,0,0,0.7,0.7,0.7,14,0.05,0.18,4500,0.04,300,68,0.05,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
WebbJo00,CAR,QB,Joe Webb,0,0,,0,,,0,0,0,15,0,0,5000,0,300,46,0,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
ShepRu00,TB,WR,Russell Shepard,0,0.38,,0.01,3.7,3.65,1.1,1.1,1.1,5,0.13,0.19,4500,0.04,303,123,0.13,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
MillHe00,PIT,TE,Heath Miller,6,0,,,,,0.6,16.5,7.277777778,,0,0,0,0,304,70,0,,,,7.809907121,,,,0,15.9,,,,,,,,,,,,,,,,,,,,,,,,
TyexWi00,NYG,TE,Will Tye,8.1,0,,,,,2.9,8.1,5.25,,0,0,0,0,304,70,0,,,,7.809907121,,,,0,5.2,,,,,,,,,,,,,,,,,,,,,,,,
CrowIs00,CLE,RB,Isaiah Crowell,0.4,0,,,,,0.4,15.7,6.82,,0,0,0,0,305,97,0,,,,7.809907121,,,,0,15.3,,,,,,,,,,,,,,,,,,,,,,,,
MurpMa03,NO,RB,Marcus Murphy,0,0,,,,,6,6,6,,0,0,0,0,305,97,0,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
SankBi00,TEN,RB,Bishop Sankey,0.7,0.208,,2.134,,,0.7,21.6,6.65,23,0,0,4600,0,305,97,0,,,,7.809907121,,,,0,20.9,,,,,,,,,,,,,,,,,,,,,,,,
SpilC.00,NO,RB,C.J. Spiller,4.4,0,,,,,1.5,19.4,6.311111111,,0,0,0,0,305,97,0,,,,7.809907121,,,,0,17.9,,,,,,,,,,,,,,,,,,,,,,,,
VereSh00,NYG,RB,Shane Vereen,3.6,0,,,,,1.1,21,8.69,,0,0,0,0,305,97,0,,,,7.809907121,,,,0,19.9,,,,,,,,,,,,,,,,,,,,,,,,
MarqBr00,STL,WR,Bradley Marquez,2.9,0.06,,,0.7,0.4,0.8,2.9,1.566666667,17,0.05,0.09,4500,0.02,307,126,0.05,,,,7.809907121,,,,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,
BrowAn04,PIT,WR,Antonio Brown,38.9,0,0,,,,3.9,38.9,20.04,,0,0,0,0,311,128,0,,,,7.809907121,,,,0,35,,,,,,,,,,,,,,,,,,,,,,,,
BryaMa00,PIT,WR,Martavis Bryant,24.8,0,0,,,,6.9,29.5,17.02,,0,0,0,0,311,128,0,,,,7.809907121,,,,0,22.6,,,,,,,,,,,,,,,,,,,,,,,,
ColeBr00,NO,WR,Brandon Coleman,1.9,0,0,,,,1.4,12.1,4.4125,,0,0,0,0,311,128,0,,,,7.809907121,,,,0,10.7,,,,,,,,,,,,,,,,,,,,,,,,
ColsMa00,NO,WR,Marques Colston,3.7,0,0,,,,2.5,21.4,6.866666667,,0,0,0,0,311,128,0,,,,7.809907121,,,,0,18.9,,,,,,,,,,,,,,,,,,,,,,,,
HarrDw00,NYG,WR,Dwayne Harris,17.2,0,,,,,0.6,17.2,9.25,,0,0,0,0,311,128,0,,,,7.809907121,,,,0,16.6,,,,,,,,,,,,,,,,,,,,,,,,
JoneJa03,PIT,WR,Jacoby Jones,0,0,,,0,0,0,0,0,,0,0,0,0,311,128,0,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
MattCh00,SEA,WR,Chris Matthews,0,0.16,,0,4.7,4.2,1.3,2.6,1.85,29,0,0,4500,0,311,128,0,,,,7.809907121,,,,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,
MoorMa02,CLE,WR,Marlon Moore,0,0,,,,,2,2,2,,0,0,0,0,311,128,0,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
RossJe01,BAL,WR,Jeremy Ross,-2,1.789,,,3.7,3.72,3.4,5.1,4.033333333,2,0,0,4500,0,311,128,0,STL,2.4,C-Game,3.2,4500,1407.7,0.71,0,1.7,,1,3,13.8,18,19.6,24,26.8,2,13.7,2,26.2,16,7.9,19,13.5,27,8.4,5,63.3,9,88.7,22,8.6
SneaWi00,NO,WR,Willie Snead,0,0,,,,,4,21.1,10.91111111,,0,0,0,0,311,128,0,,,,7.809907121,,,,0,17.1,,,,,,,,,,,,,,,,,,,,,,,,
BohaTo00,NYJ,FB,Tommy Bohanon,2.3,1.552,0,1.552,0.1,0.065,0.2,4.6,2.366666667,,,,,,,,,,,,7.809907121,,,,0,4.4,,,,,,,,,,,,,,,,,,,,,,,,
BrowPh00,CAR,WR,Corey Brown,1.3,3.302,,,,,0,0,0,,,,,,,,,,,,7.809907121,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
BullRa00,NYJ,K,Randy Bullock,15,5,,,,,0,0,0,,,,,,,,,,,,7.809907121,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
GayxJo00,BUF,K,Jordan Gay,0,0,,0,,,0,0,0,,,,,,,,,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
GinnTe00,CAR,WR,Ted Ginn,6.5,6.053,4.8,5.98,,,2.3,14.8,8.4,,,,,,,,,WAS,6.9,C-Game,8.5,5200,610,1.64,0,12.5,,1,13,16.5,8,15.8,7,19.7,20,24.3,13,35.1,9,5.5,10,10.3,13,6.8,11,68.9,7,88.4,12,6.9
KrofTy00,CIN,TE,Tyler Kroft,0,0.02,,0.02,0,0,0,0,0,,,,,,,,,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
WelkWe00,STL,WR,Wes Welker,4.7,3.51,,,,,0,0,0,,,,,,,,,,,,7.809907121,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
